Name,Phone,Address
University of Port Harcourt Teaching Hospital - Ophthalmology Dept,"Abuja, Abuja Capital Territory, Nigeria",+234 84 230 903
University Of Uyo Teaching Hospital (U U T H) - Ophthalmology Dept,"Olabisi Onabanjo Way,
 Abeokuta",+234 85 290 860
Upper Hill Medical Centre (Uhmc) - Ophthalmology Dept,"Danville Location Lomanyeng Village,
 Mareetsane Road,
 Mafikeng , 2745",+254 20 2721580
Usmanu Danfodiyo University Teaching Hospital - Ophthalmology Dept,"Sagamu, Ogun, Nigeria",+234 60 232 546
Van Niekerk Chris J S,"Midrand, Gauteng, South Africa",+27 11 888 6306
Viljoen R D,"Northcliff Eye Clinic,
 22 Hocky Avenue,
 Northcliff , 2195",+27 11 888 1440
Visusense Ophthalmologists - Dr Irene Freed,drdaveyophthalmologisteyesurgeon.business.site,+27 11 794 8629
Visusense Ophthalmologists - Dr Suzanne Smith,"Benoni Eye Institute Healthy Eye,
 177 Princess Avenue,
 Benoni South , 1501",+27 11 950 5945
Vital Sight Inc,"Block 1 Suite E  Mediclinic Pietermaritzburg,
 90 Payn Street,
 Pietermaritzburg , 3201",+27 10 591 2223
West Rand Eye Centre,"Pretoria, Gauteng, South Africa",+27 11 475 2807
West Rand Eye Specialist (Dr FC De Beer),"Durban, KwaZulu-Natal, South Africa",+27 11 475 4070
Windhoek Eye Clinic,"7112-12390 Nguzu Street,
 Vosloorus Ext 14 , 1475",+264 61 259 300
Windhoek Eye Institute,"Vosloorus, Gauteng, South Africa",+264 61 259 300
Worcester Hospital,"Murray Street, Worcester",+27 23 348 1134
Zagazig University Hospitals - Department of Ophthalmology,+234 70 987 490 19,+20 55 232 6127
